"1. Definir a sequência das atividades para desenvolvimento dos componentes, de acordo com os requisitos do sistema ,""Entendeu o conceito de metodologias ágeis"""
",""Identificou as características das metodologias ágeis"""
",""Aplicou as metodologias ágeis de acordo com o contexto apresentado"""
",""Implementou o projeto considerando as fases de desenvolvimento"""
",""Desenvolveu uma aplicação de acordo com os requisitos de sistema"""
"3. Projetar os componentes do sistema considerando as plataformas computacionais ,""Compreendeu o conceito de plataforma computacional"""
",""Publicou a aplicação na plataforma computacional"""
",""Gerenciou a aplicação na plataforma computacional"""
"7. Definir os softwares a serem utilizados no desenvolvimento do sistema,""Identificou o software de acordo com o contexto apresentado"""
",""Escolheu os softwares de acordo com a demanda e custo"""
",""Definiu tempo e local para as apresentações dos projetos"""
",""Definiu os recursos necessários para a apresentação do projeto"""
",""Analisou os softwares de acordo com o projeto"""
"9. Elaborar documentação técnica do sistema,""Documentou o sistema de acordo com as boas práticas"""
",""Criou o protótipo de acordo com os requisitos de sistema"""
",""Desenvolveu a aplicação de acordo com o protótipo elaborado"""
",""Utilizou as normas técnicas na documentação do sistema"""
"10. Implementar as funcionalidades de acordo com os requisitos definidos,""Levantou os requisitos de acordo com a demanda apresentada"""
",""Compreendeu os tipos de requisitos"""
",""Aplicou as técnicas de levantamento de requisitos"""
",""Entendeu as fases do levantamento de requisitos"""
",""Diferenciou requisitos funcionais de não funcionais"""
",""Gerenciou as mudanças de requisitos"""
",""Construiu os requisitos em forma de user story"""
"1. Demonstrar autogestão,""Implementou adequadamente a atividade proposta """
",""Demonstrou foco e atenção na execução das tarefas """
",""Gerenciou as tarefas apresentadas """
",""Desenvolveu e entregou as atividades ao final das aulas"""
",""Respeitou o escopo do projeto / atividades e entregou o solicitado"""
",""Cumpriu os horários determinados"""
"2. Demonstrar pensamento analítico,""Compreendeu a atividade proposta"""
",""Apresentou uma solução adequada frente a demanda apresentada"""
",""Executou as tarefas de acordo com a sequência de passos indicados"""
"3. Demonstrar inteligência emocional,""Comportou-se adequadamente ao falar em público """
",""Manteve-se motivado frente as demandas apresentadas"""
",""Manteve-se calmo e positivo em situações desafiadoras"""
"4. Demonstrar autonomia,""Demonstrou autonomia ao fazer uma apresentação """
",""Demonstrou autonomia na execução das atividades propostas """
"5. Demonstrar resiliência emocional,""Demostrou tranquilidade frente aos desafios propostos"""
",""Apresentou o resultado final do projeto de forma segura"""
"6. Trabalhar em equipe,""Colaborou com a equipe frente as atividades apresentas"""
",""Demonstrou proatividade frente as demandas apresentadas pela equipe"""
"7. Demonstrar criatividade e inovação,""Apresentou uma solução inovadora frente ao problema apresentado"""
",""Demonstrou criatividade frente as atividades propostas"""
