"1. Definir a sequência das atividades para desenvolvimento dos componentes, de acordo com os requisitos do sistema","Entendeu o conceito de metodologias ágeis"
"1. Definir a sequência das atividades para desenvolvimento dos componentes, de acordo com os requisitos do sistema","Identificou as características das metodologias ágeis"
"1. Definir a sequência das atividades para desenvolvimento dos componentes, de acordo com os requisitos do sistema","Aplicou as metodologias ágeis de acordo com o contexto apresentado"
"1. Definir a sequência das atividades para desenvolvimento dos componentes, de acordo com os requisitos do sistema","Implementou o projeto considerando as fases de desenvolvimento"
"1. Definir a sequência das atividades para desenvolvimento dos componentes, de acordo com os requisitos do sistema","Desenvolveu uma aplicação de acordo com os requisitos de sistema"
"3. Projetar os componentes do sistema considerando as plataformas computacionais","Compreendeu o conceito de plataforma computacional"
"3. Projetar os componentes do sistema considerando as plataformas computacionais","Publicou a aplicação na plataforma computacional"
"3. Projetar os componentes do sistema considerando as plataformas computacionais","Gerenciou a aplicação na plataforma computacional"
"7. Definir os softwares a serem utilizados no desenvolvimento do sistema","Identificou o software de acordo com o contexto apresentado"
"7. Definir os softwares a serem utilizados no desenvolvimento do sistema","Escolheu os softwares de acordo com a demanda e custo"
"7. Definir os softwares a serem utilizados no desenvolvimento do sistema","Definiu tempo e local para as apresentações dos projetos"
"7. Definir os softwares a serem utilizados no desenvolvimento do sistema","Definiu os recursos necessários para a apresentação do projeto"
"7. Definir os softwares a serem utilizados no desenvolvimento do sistema","Analisou os softwares de acordo com o projeto"
"9. Elaborar documentação técnica do sistema","Documentou o sistema de acordo com as boas práticas"
"9. Elaborar documentação técnica do sistema","Criou o protótipo de acordo com os requisitos de sistema"
"9. Elaborar documentação técnica do sistema","Desenvolveu a aplicação de acordo com o protótipo elaborado"
"9. Elaborar documentação técnica do sistema","Utilizou as normas técnicas na documentação do sistema"
"10. Implementar as funcionalidades de acordo com os requisitos definidos","Levantou os requisitos de acordo com a demanda apresentada"
"10. Implementar as funcionalidades de acordo com os requisitos definidos","Compreendeu os tipos de requisitos"
"10. Implementar as funcionalidades de acordo com os requisitos definidos","Aplicou as técnicas de levantamento de requisitos"
"10. Implementar as funcionalidades de acordo com os requisitos definidos","Entendeu as fases do levantamento de requisitos"
"10. Implementar as funcionalidades de acordo com os requisitos definidos","Diferenciou requisitos funcionais de não funcionais"
"10. Implementar as funcionalidades de acordo com os requisitos definidos","Gerenciou as mudanças de requisitos"
"10. Implementar as funcionalidades de acordo com os requisitos definidos","Construiu os requisitos em forma de user story"
"1. Demonstrar autogestão","Implementou adequadamente a atividade proposta"
"1. Demonstrar autogestão","Demonstrou foco e atenção na execução das tarefas"
"1. Demonstrar autogestão","Gerenciou as tarefas apresentadas"
"1. Demonstrar autogestão","Desenvolveu e entregou as atividades ao final das aulas"
"1. Demonstrar autogestão","Respeitou o escopo do projeto / atividades e entregou o solicitado"
"1. Demonstrar autogestão","Cumpriu os horários determinados"
"2. Demonstrar pensamento analítico","Compreendeu a atividade proposta"
"2. Demonstrar pensamento analítico","Apresentou uma solução adequada frente a demanda apresentada"
"2. Demonstrar pensamento analítico","Executou as tarefas de acordo com a sequência de passos indicados"
"3. Demonstrar inteligência emocional","Comportou-se adequadamente ao falar em público"
"3. Demonstrar inteligência emocional","Manteve-se motivado frente as demandas apresentadas"
"3. Demonstrar inteligência emocional","Manteve-se calmo e positivo em situações desafiadoras"
"4. Demonstrar autonomia","Demonstrou autonomia ao fazer uma apresentação"
"4. Demonstrar autonomia","Demonstrou autonomia na execução das atividades propostas"
"5. Demonstrar resiliência emocional","Demostrou tranquilidade frente aos desafios propostos"
"5. Demonstrar resiliência emocional","Apresentou o resultado final do projeto de forma segura"
"6. Trabalhar em equipe","Colaborou com a equipe frente as atividades apresentas"
"6. Trabalhar em equipe","Demonstrou proatividade frente as demandas apresentadas pela equipe"
"7. Demonstrar criatividade e inovação","Apresentou uma solução inovadora frente ao problema apresentado"
"7. Demonstrar criatividade e inovação","Demonstrou criatividade frente as atividades propostas"
